claim,candidate,reference,metric,difference_direction,n_sessions,n_animals,n_planned_sessions,n_planned_animals,n_paired_complete_sessions,n_failed_or_missing_sessions,n_valid_gate_sessions,n_invalid_gate_sessions,gate_fit_valid_rate,requires_valid_hmm_fit,source_run_status,run_attempt_finalized,animal_mean_difference,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,animal_wilcoxon_two_sided_p,holm_p,conclusion,cohort_complete_for_inference,all_hmm_predictions_included_before_validity_gate,statistics_unit,multiple_comparison_correction,cohort_manifest_sha256,profile,source_run_id,source_run_attempt,source_metrics_path,evidence_scope,behavior_only_benchmark,neural_activity_analyzed,biological_mechanism_claim_eligible,shared_neural_dynamics_claim_eligible,scoped_raw_sha256
hmm_context_nll_gain,learned_categorical_hmm,no_memory,context_nll,reference_minus_candidate_positive_is_better,30,30,30,30,30,0,30,0,1.0,True,complete,True,0.3768111305063217,0.3313357025885302,0.4177533301199651,3.725290298461914e-09,1.4901161193847656e-08,support,True,True,animal_primary_session_nested,Holm_across_exp11_claim_family,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,formal,c9ed2f4f-52bb-4f84-abb0-df5321d10e07,20260711T145730.414872Z,results\runs\exp11_ibl_behavior_belief\seed_0000\20260711T145730.414872Z\metrics.jsonl,IBL_trials_only_behavior_hidden_block_inference,True,False,False,False,49b9ac6b8a48a7824cdf7288d878e6353fbb0e574b065b9bf46aad828730e67a
history_context_nll_gain,exponential_history,no_memory,context_nll,reference_minus_candidate_positive_is_better,30,30,30,30,30,0,30,0,,False,complete,True,-0.5648789635884814,-0.7771728651113434,-0.37836125368264617,8.326023817062378e-07,2.4978071451187134e-06,oppose,True,True,animal_primary_session_nested,Holm_across_exp11_claim_family,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,formal,c9ed2f4f-52bb-4f84-abb0-df5321d10e07,20260711T145730.414872Z,results\runs\exp11_ibl_behavior_belief\seed_0000\20260711T145730.414872Z\metrics.jsonl,IBL_trials_only_behavior_hidden_block_inference,True,False,False,False,49b9ac6b8a48a7824cdf7288d878e6353fbb0e574b065b9bf46aad828730e67a
hmm_behavior_log_loss_gain,learned_categorical_hmm,no_memory,behavior_log_loss,reference_minus_candidate_positive_is_better,30,30,30,30,30,0,30,0,1.0,True,complete,True,-0.0010870765671430924,-0.003275426464391702,0.0007698811021384728,0.9838335812091827,0.9838335812091827,inconclusive,True,True,animal_primary_session_nested,Holm_across_exp11_claim_family,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,formal,c9ed2f4f-52bb-4f84-abb0-df5321d10e07,20260711T145730.414872Z,results\runs\exp11_ibl_behavior_belief\seed_0000\20260711T145730.414872Z\metrics.jsonl,IBL_trials_only_heldout_choice_prediction,True,False,False,False,49b9ac6b8a48a7824cdf7288d878e6353fbb0e574b065b9bf46aad828730e67a
history_behavior_log_loss_gain,exponential_history,no_memory,behavior_log_loss,reference_minus_candidate_positive_is_better,30,30,30,30,30,0,30,0,,False,complete,True,-0.003752677320971336,-0.007240175732039813,-0.0007729757202212113,0.140283040702343,0.280566081404686,inconclusive,True,True,animal_primary_session_nested,Holm_across_exp11_claim_family,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,formal,c9ed2f4f-52bb-4f84-abb0-df5321d10e07,20260711T145730.414872Z,results\runs\exp11_ibl_behavior_belief\seed_0000\20260711T145730.414872Z\metrics.jsonl,IBL_trials_only_heldout_choice_prediction,True,False,False,False,49b9ac6b8a48a7824cdf7288d878e6353fbb0e574b065b9bf46aad828730e67a
