seed,run_id,run_path,run_status,condition_failures,semantic_config_sha256,calibration_code_sha256,calibration_environment_sha256,formal_data_validation_required,git_commit,git_dirty,metrics_sha256,receipts_sha256,test_data_used_for_fit_or_selection,test_prediction_array_requested,public_test_prediction_adapter_called,hidden_target_scorer_called
1000,0e226043-b8e0-41d0-a9f6-bc5481c38c57,/home/spco/sow_linear/neuro_modeling_exp17_frozen_17c8e4b/trash/20260715-exp17-frozen/formal_calibration/seed_1000/runs/exp17_tiny_recursive_calibration/seed_1000/20260714T232255.896429Z,complete,0,1403b2f022c25681a882a5e9f298aaec2a0374205c4606dbfd3010299af8d535,7b235277c9b9361f5ba26205b0688635052f9c2446cf9d06440f704fc9035d36,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,True,17c8e4bdcfecd5a21506f1da02c8a377294ce398,False,82c50fb80d898de2cfcfb418b3abd95f7ee25d06e4457ecf93fc590b58061bd7,bf71a20d8d72cfa4088ee078db99a8266e13d3b1f6e710ef210c40263d21bb1a,False,False,False,False
1001,3923dd18-939a-468b-909a-54df2bde397a,/home/spco/sow_linear/neuro_modeling_exp17_frozen_17c8e4b/trash/20260715-exp17-frozen/formal_calibration/seed_1001/runs/exp17_tiny_recursive_calibration/seed_1001/20260714T232255.894027Z,complete,0,1403b2f022c25681a882a5e9f298aaec2a0374205c4606dbfd3010299af8d535,7b235277c9b9361f5ba26205b0688635052f9c2446cf9d06440f704fc9035d36,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,True,17c8e4bdcfecd5a21506f1da02c8a377294ce398,False,d2dccb3ae379348336c0ec9029648e52b34cc38c04a6c85bbe5d7174e6d69272,3370eb5eaedbd99ef43b832d081d922e5c30820116a41cd0c28fcf567c0a4fdc,False,False,False,False
1002,f959b7d9-f17d-44fb-86d7-39262f5f6f38,/home/spco/sow_linear/neuro_modeling_exp17_frozen_17c8e4b/trash/20260715-exp17-frozen/formal_calibration/seed_1002/runs/exp17_tiny_recursive_calibration/seed_1002/20260714T232427.655718Z,complete,0,1403b2f022c25681a882a5e9f298aaec2a0374205c4606dbfd3010299af8d535,7b235277c9b9361f5ba26205b0688635052f9c2446cf9d06440f704fc9035d36,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,True,17c8e4bdcfecd5a21506f1da02c8a377294ce398,False,3afc9fdeb7c22c9deb9fe6b868c8c3e352e1b579eabebd9165fb66f3fc970dad,b8c746b4fd47bd83c2fc8932edcdb79ff4d1090b1d0e5d1569d7365a6f6e18aa,False,False,False,False
