adaptation_optimizer_steps,adaptation_support_examples,attempt_fingerprints,best_cell_accuracy,condition,core_calls_per_candidate,experiment,level,n_attempts,n_queries,parameter_count,pass_at_1,pass_at_2,public_fingerprint,query_exact_fraction,query_targets_used,recorded_at,run_id,seed,shape_exact_fraction,source_group,status,task_id,task_index,vote_counts_by_query,wall_seconds,published_run_path,best_cell_accuracy_ci_high,best_cell_accuracy_ci_low,best_cell_accuracy_mean,failures,formal_claim_promotion_enabled,n_tasks,official_private_score,pass_at_1_ci_high,pass_at_1_ci_low,pass_at_1_mean,pass_at_2_ci_high,pass_at_2_ci_low,pass_at_2_mean,shape_exact_fraction_ci_high,shape_exact_fraction_ci_low,shape_exact_fraction_mean,candidate,ci_high,ci_low,claim_scope,comparison,conclusion,matched_initialization,matched_training_order,n_independent_tasks,pass_at_2_difference,reference
,,,,single_state_demo_tta_aug_vote,,exp18_arc_recursive_baseline,condition_summary,,,,,,,,False,2026-07-15T09:30:07.129277+00:00,776db312-6dfd-4e97-add9-5a292d6f755d,3000,,,,,,,,/home/spco/sow_linear/neuro_modeling_exp18_arc_383f5ac/local_plasticity_gated_dynamics/results/runs/exp18_arc_recursive_baseline/seed_3000/20260715T092943.539871Z,0.0,0.0,0.0,0.0,False,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
,,,,trm_demo_tta_aug_vote,,exp18_arc_recursive_baseline,condition_summary,,,,,,,,False,2026-07-15T09:30:04.182483+00:00,776db312-6dfd-4e97-add9-5a292d6f755d,3000,,,,,,,,/home/spco/sow_linear/neuro_modeling_exp18_arc_383f5ac/local_plasticity_gated_dynamics/results/runs/exp18_arc_recursive_baseline/seed_3000/20260715T092943.539871Z,0.087,0.0,0.028999999999999998,0.0,False,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,,,,,,,,,,,
,,,,trm_no_tta_aug_vote,,exp18_arc_recursive_baseline,condition_summary,,,,,,,,False,2026-07-15T09:30:04.865334+00:00,776db312-6dfd-4e97-add9-5a292d6f755d,3000,,,,,,,,/home/spco/sow_linear/neuro_modeling_exp18_arc_383f5ac/local_plasticity_gated_dynamics/results/runs/exp18_arc_recursive_baseline/seed_3000/20260715T092943.539871Z,0.087,0.0,0.028999999999999998,0.0,False,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,,,,,,,,,,,
