eid,animal_id,endpoint_status,context_nll_gain_hmm_minus_semimarkov,primary_gain_selected_baseline_minus_factorized,probe_gain_selected_baseline_minus_factorized,release_clamp_nll_harm,concentration_clamp_nll_harm,primary_selected_baseline,probe_selected_baseline,primary_factorized_nll,probe_factorized_nll
034e726f-b35f-41e0-8d6c-a22cc32391fb,CSHL045,complete,0.020092759258203252,0.01593507328679722,0.01593507328679722,0.05275021425946935,-0.0054182263246354,learned_hmm_mean,learned_hmm_mean,0.6196791719089095,0.6196791719089095
b52182e7-39f6-4914-9717-136db589706e,CSHL047,complete,0.10491470568818034,-0.019505465777375497,-0.015611348448045181,-0.008322687142765184,0.0003455672100315388,history_only,history_only,0.5107051249050196,0.44286044929664226
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,CSHL049,complete,0.028100289978675252,0.01770370815489336,0.022921601150032722,-0.016606349909567608,-0.01237274878441269,semimarkov_mean,semimarkov_mean,0.3115102314380197,0.30574717127797224
ecb5520d-1358-434c-95ec-93687ecd1396,CSHL051,complete,0.2214923327821941,0.02326062804626078,0.03734435211948672,0.0222054056906566,0.009640495517153846,semimarkov_mean,history_only,0.4817101890402116,0.5048474823247799
3663d82b-f197-4e8b-b299-7b803a155b84,CSHL052,complete,0.02967772274694963,-0.034525340292135276,0.006951036700696855,-0.0036781978416083883,0.00048330107492033925,history_only,learned_hmm_mean,0.35193078072715295,0.3091210075172473
12dc8b34-b18e-4cdd-90a9-da134a9be79c,CSHL053,complete,0.01770470280527009,-0.016344371021042248,-0.016344371021042248,-0.0020710648180292113,-0.00012135424171261233,semimarkov_mean,semimarkov_mean,0.4849773765218104,0.4849773765218104
a71175be-d1fd-47a3-aa93-b830ea3634a1,CSHL054,complete,0.05049009608880978,-0.029177448971758113,-0.026149337649790882,-0.0009799988470753362,-0.018478200225152452,learned_hmm_mean,history_only,0.655675373631697,0.6783432880017094
0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,CSHL055,complete,0.08965375125847397,-0.009875888652638415,-0.009875888652638415,0.0014994669614417366,-0.01294730098166777,semimarkov_mean,semimarkov_mean,0.20953427996737503,0.20953427996737503
f312aaec-3b6f-44b3-86b4-3a0c119c0438,CSHL058,failed,,,,,,,,,
d2f5a130-b981-4546-8858-c94ae1da75ff,CSHL059,failed,,,,,,,,,
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,complete,0.09375625674239407,-0.011243404517288225,-0.011138370790715557,-0.0013771128831097657,-0.01656695570068789,learned_hmm_mean,history_only,0.3975899713956869,0.3975899713956869
3e7ae7c0-fe8b-487c-9354-036236fa1010,CSH_ZAD_001,complete,0.07219131923654643,-0.019136496708170525,0.02423108504373639,-0.021997096807708894,-0.0013896480241262221,semimarkov_mean,learned_hmm_mean,0.6013077689192089,0.3720268823861971
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,CSH_ZAD_011,complete,0.07084754187363235,-0.031239348027122416,-0.03350164000217254,-0.034454368857228135,0.006387476565115402,history_only,learned_hmm_mean,0.43839033762412555,0.43839033762412555
7f6b86f9-879a-4ea2-8531-294a221af5d0,CSH_ZAD_019,complete,0.04923951744539379,-0.05435750789725757,-0.05435750789725757,-0.016403598657780738,-0.033780558711850706,semimarkov_mean,semimarkov_mean,0.7410873095968872,0.7410873095968872
8db36de1-8f17-4446-b527-b5d91909b45a,CSH_ZAD_022,complete,-0.011833421601132488,0.034072250793830416,0.001959706893106372,-0.0012677262876963913,1.0958749039780002e-05,history_only,history_only,0.4686754474241736,0.36138923280503443
8207abc6-6b23-4762-92b4-82e05bed5143,CSH_ZAD_024,complete,0.07511875015611963,-0.05908404087441127,-0.021559240311474936,0.006289650033374505,0.0014955094436793215,history_only,learned_hmm_mean,0.46522627676531164,0.39583374751157946
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,CSH_ZAD_025,complete,0.07832397046592562,0.011773942021245876,0.017295768659627675,0.010873045157104355,-0.007152589951637256,history_only,learned_hmm_mean,0.48133063225717365,0.476505636399122
e349a2e7-50a3-47ca-bc45-20d1899854ec,CSH_ZAD_029,complete,0.007342528800748732,-0.013109068554659431,-0.016102188562082898,0.007597606247851552,-0.011257806993557384,semimarkov_mean,learned_hmm_mean,0.5653587024748127,0.5922702514707385
4fa70097-8101-4f10-b585-db39429c5ed0,DY_010,failed,,,,,,,,,
7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,complete,0.08946070822546345,-0.019332496062123172,-0.019332496062123172,-0.010192435169446068,-0.022462886124301085,semimarkov_mean,semimarkov_mean,0.3278690671032251,0.3278690671032251
54238fd6-d2d0-4408-b1a9-d19d24fd29ce,DY_018,complete,0.017424638641696244,-0.07732284445720106,-0.07732284445720106,-0.00312146930778312,-0.004884962211714361,learned_hmm_mean,learned_hmm_mean,0.41004455000480633,0.41004455000480633
16693458-0801-4d35-a3f1-9115c7e5acfd,KS014,complete,0.2675984155839166,-0.012424947510877193,-0.015471449696400463,0.004107028827178505,-0.020606775842810898,semimarkov_mean,history_only,0.6250346640077411,0.5922276508241797
