condition,exact_accuracy,exact_accuracy_ci_low,exact_accuracy_ci_high,candidate_coverage,minimum_candidate_coverage,coverage_gate_passed,n_tasks,n_dependency_components,n_seeds,statistics_unit,seed_nested_within_task,parameter_count,trainable_parameter_count,used_bptt,control_dim,control_operator_rank,bootstrap_seed,n_bootstrap,source_revision,source_manifest_sha256,scoped_raw_sha256,run_manifest_sha256,run_git_commit,run_git_dirty
support_heuristic,0.005012531328320802,0.0,0.012531328320802004,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,0,0,False,0,0,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
flat_local,0.003007518796992482,0.0,0.008521303258145364,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,1657,25,False,0,0,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
hierarchical_local,0.003007518796992481,0.0,0.008521303258145364,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,1673,41,False,4,4,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
trace_local,0.003425229741019215,0.0,0.00935672514619883,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,1681,49,False,4,4,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
gru_bptt,0.005012531328320802,0.0,0.012531328320802004,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,1841,1841,True,0,0,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
candidate_oracle,0.012531328320802004,0.002506265664160401,0.02506265664160401,0.012531328320802004,0.9,False,399,399,30,source_augmentation_dependency_component,True,0,0,False,0,0,20260712,100000,399030444e0ab0cc8b4e199870fb20b863846f34,76e2360f6673093730676345fd3db8bf289be3f58179c002980a4e91ae0d9cda,0865d15177be359194b454ca8c94620df34e3ddf449b096b5e796847e0533b4d,7e46d4e0b62106e20b047f89ea25903619806f738683fc1be38d6ae4a87e8ead,4f77d1abee9f6213638a65c1e4c4525fcee83f1a,False
