claim_id,experiment,metric,comparison,stats_unit,n_planned,n_complete,n_failed,estimate,ci_low,ci_high,effect_size,p_value,multiplicity_method,conclusion,criterion,note
A1_rank_matches_feedback,exp01,effective_rank,aligned d=4 minus target rank 4,seed,20,20,0,-1.8121345320931682e-05,-2.0592776934498235e-05,-1.5905182646617222e-05,-1.8121345320931682e-05,1.811981201171875e-05,holm(full_registered_family),support,"95% CI of effective-rank minus 4 lies within [-0.5, 0.5]",paired 95% bootstrap CI at the declared independent-unit level; two-one-sided margin tests awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
A2_d4_r2_noninferior_full,exp01,latent_r2,aligned d=4 minus aligned d=128,seed,20,20,0,5.038215443314842e-06,-3.904777971829587e-06,1.6329565974894378e-05,5.038215443314842e-06,1.811981201171875e-05,holm(full_registered_family),support,one-sided non-inferiority margin is -0.01 latent R2,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
A3_alignment_is_necessary,exp01,latent_r2,aligned d=4 minus orthogonal d=4,seed,20,20,0,0.9727198270863889,0.971781168773587,0.9736160710197403,0.9727198270863889,1.811981201171875e-05,holm(full_registered_family),support,aligned latent-R2 advantage CI lower bound is at least 0.10,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B1a_local_absolute_accuracy,exp02/03,accuracy,local accuracy minus absolute threshold 0.85,seed,20,20,0,-0.17468749999999997,-0.23031249999999998,-0.11937499999999998,-0.17468749999999997,0.0007697018620968842,holm(full_registered_family),oppose,local absolute accuracy-minus-0.85 CI is reported independently,paired 95% bootstrap CI at the declared independent-unit level; one-sided oppose-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=6.99728965543e-05); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B1b_local_relative_noninferiority,exp02/03,accuracy,local minus 90% of paired BPTT accuracy,seed,20,20,0,0.1263125,0.05167968750000003,0.1959437499999999,0.1263125,0.019439697265625,holm(full_registered_family),support,local relative non-inferiority to 90% of paired BPTT is reported independently of absolute performance,paired 95% bootstrap CI at the declared independent-unit level; one-sided support-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=0.0024299621582); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B2_gate_reduces_switch_cost,exp02/03,switch_cost,no-gate switch cost minus gated-local switch cost,seed,20,0,0,,,,,,holm(full_registered_family),inconclusive,"hidden-context gate improves switch cost without true-context access in the cue, gate fit/test, oracle warm start, or recurrent third factor",legacy exp02/03 lacks leakage-free hidden-context provenance; exp03 is a supervised/oracle-warm-start upper bound and the legacy no-gate third factor receives true context
B3_homeostasis_stabilizes,exp02,jacobian_max_real_part,no-homeostasis minus local E/I instability,seed,20,20,0,-0.03028945453016117,-0.03384149525233412,-0.02665068223058264,-0.03028945453016117,1.811981201171875e-05,holm(full_registered_family),oppose,removing inhibitory homeostasis increases Jacobian instability,paired 95% bootstrap CI at the declared independent-unit level; one-sided oppose-margin test awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=9.53674316406e-07); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
B4_local_rank_below_full_feedback,exp02/03,raw_update_effective_rank,full-feedback update rank minus low-dimensional local update rank,seed,20,20,0,-0.12659891474151613,-0.5359220394271558,0.31565648835663535,-0.12659891474151613,1.0,holm(full_registered_family),inconclusive,local three-factor update rank is lower than full-feedback rank,paired 95% bootstrap CI at the declared independent-unit level; two-sided zero-difference diagnostic awaits full-family Holm adjustment; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=0.521673202515); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
C1_phase_effect_survives_rate_match,exp04,decoding_accuracy,in-phase minus no-oscillation decoding accuracy,seed,20,20,0,0.0,0.0,0.0,0.0,5.420951501730849e-05,holm(full_registered_family),oppose,exactly matched in-phase accuracy advantage CI exceeds 0.02,paired 95% bootstrap CI at the declared independent-unit level; one-sided oppose-margin test awaits full-family Holm adjustment; all exact matching flags true and source fingerprints identical within seed; p_value is Holm-adjusted across all 22 registered claims (raw Wilcoxon p=3.87210821552e-06); a directional bootstrap criterion can support/oppose only when Holm p<=0.05
D1_shared_basis_near_full,exp05,retained_switching_gain,shared versus common/full,session,2,0,1,,,,,,holm(full_registered_family),inconclusive,retained switching gain >= 0.90 and shared parameters < full,complete common/shared/full formal panel unavailable
