seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43001,learned_event_learned_qr,1,0,110,011,1,1,-0.14929242068976176,0.008930220640591744
43001,learned_event_learned_qr,1,0,110,011,4,4,0.13321890878779494,0.07051028709635163
43001,learned_event_learned_qr,1,0,110,011,8,8,1.4077702631065676,0.09771643756264274
43001,learned_event_learned_qr,1,0,110,011,16,16,1.1766534206806436,0.09172616473368864
43001,learned_event_learned_qr,2,0,011,111,1,1,0.4693262917599417,0.004502444084180815
43001,learned_event_learned_qr,2,0,011,111,4,4,0.6392346684418391,0.06300390749984686
43001,learned_event_learned_qr,2,0,011,111,8,8,0.5946852146136915,0.07355702963911825
43001,learned_event_learned_qr,2,0,011,111,16,16,0.821255274326859,0.06269634551895484
43001,learned_event_learned_qr,3,0,111,110,1,1,0.30799436854601686,0.007595111062616949
43001,learned_event_learned_qr,3,0,111,110,4,4,0.298638007618932,0.013756647064350072
43001,learned_event_learned_qr,3,0,111,110,8,8,0.2593019171069755,0.012581402428956171
43001,learned_event_learned_qr,3,0,111,110,16,16,0.2029592512249699,0.015133822543022701
43001,learned_event_learned_qr,4,0,110,111,1,1,-0.3909521970479203,0.016808468879461264
43001,learned_event_learned_qr,4,0,110,111,4,4,1.8585035365136378,0.05912465807338285
43001,learned_event_learned_qr,4,0,110,111,8,8,1.094095336139918,0.056105983599320924
43001,learned_event_learned_qr,4,0,110,111,16,16,1.5634604445319755,0.10059042278440865
43001,learned_event_learned_qr,5,0,111,101,1,1,0.66465366514565,0.15539790018341088
43001,learned_event_learned_qr,5,0,111,101,4,4,0.7969242500603563,0.08579214450538827
43001,learned_event_learned_qr,5,0,111,101,8,8,0.5634696880177551,0.07192708603912805
43001,learned_event_learned_qr,5,0,111,101,16,16,0.36239320818063625,0.04398554706285894
43001,learned_event_learned_qr,6,0,101,101,1,1,0.7545921511996351,0.17444601220491598
43001,learned_event_learned_qr,6,0,101,101,4,4,1.7116191926818465,0.26540250913338104
43001,learned_event_learned_qr,6,0,101,101,8,8,1.4842461550272916,0.138842351755461
43001,learned_event_learned_qr,6,0,101,101,16,16,1.0032605995873842,0.08078846710424667
43001,learned_event_learned_qr,7,0,101,011,1,1,0.3862647913949865,0.0019193194363267612
43001,learned_event_learned_qr,7,0,101,011,4,4,0.35545479425892723,0.033330722022666126
43001,learned_event_learned_qr,7,0,101,011,8,8,0.9942205957906269,0.1334425615916962
43001,learned_event_learned_qr,7,0,101,011,16,16,0.9568860880294057,0.09571106162707892
43001,learned_event_learned_qr,8,0,011,101,1,1,0.1579515340718236,0.002254731464658065
43001,learned_event_learned_qr,8,0,011,101,4,4,0.538888174387926,0.013120146522721282
43001,learned_event_learned_qr,8,0,011,101,8,8,0.544054722777692,0.013554181699405587
43001,learned_event_learned_qr,8,0,011,101,16,16,1.14217451089266,0.02092751226495269
43001,learned_event_learned_qr,9,0,101,011,1,1,0.37171683191591687,0.01829933111706417
43001,learned_event_learned_qr,9,0,101,011,4,4,0.32549257590672015,0.007089036779817047
43001,learned_event_learned_qr,9,0,101,011,8,8,0.5380887052066204,0.01398998031124345
43001,learned_event_learned_qr,9,0,101,011,16,16,0.5901370932547122,0.023433161212811963
43001,learned_event_learned_qr,10,0,011,110,1,1,0.5525400447815538,0.10814509109671358
43001,learned_event_learned_qr,10,0,011,110,4,4,0.4805471127487399,0.030062756782373707
43001,learned_event_learned_qr,10,0,011,110,8,8,0.3645536504729203,0.021045650379888987
43001,learned_event_learned_qr,10,0,011,110,16,16,0.3721772978793728,0.03023752603659957
43001,learned_event_learned_qr,11,0,110,111,1,1,0.27699580374888927,0.0036449637414330918
43001,learned_event_learned_qr,11,0,110,111,4,4,1.6075397917226002,0.13171705788197952
43001,learned_event_learned_qr,11,0,110,111,8,8,1.593858313088655,0.10035874314856441
43001,learned_event_learned_qr,11,0,110,111,16,16,1.4497371808355612,0.08902985919887924
43001,learned_event_learned_qr,13,1,101,011,1,1,4.765887082868055,0.048129751592694496
43001,learned_event_learned_qr,13,1,101,011,4,4,1.7776692741781506,0.17031773609740358
43001,learned_event_learned_qr,13,1,101,011,8,8,1.1905036984025228,0.12131280278023812
43001,learned_event_learned_qr,13,1,101,011,16,16,0.9038237569064094,0.09182902869791985
43001,learned_event_learned_qr,14,1,011,011,1,1,0.4011540241248555,0.01266109919260133
43001,learned_event_learned_qr,14,1,011,011,4,4,0.4424249518103504,0.005206105634962717
43001,learned_event_learned_qr,14,1,011,011,8,8,0.7642803749147669,0.00746719688655398
43001,learned_event_learned_qr,14,1,011,011,16,16,0.6796064569550899,0.019442509364705145
43001,learned_event_learned_qr,15,1,011,110,1,1,0.2503125535288216,0.043518828794080276
43001,learned_event_learned_qr,15,1,011,110,4,4,1.5087076236593526,0.012123760845737378
43001,learned_event_learned_qr,15,1,011,110,8,8,0.8304577002976093,0.016339014647108473
43001,learned_event_learned_qr,15,1,011,110,16,16,0.4246651098537828,0.020386365295818498
43001,learned_event_learned_qr,16,1,110,111,1,1,0.2366533701538132,0.1781406242338031
43001,learned_event_learned_qr,16,1,110,111,4,4,1.0651754330666994,0.05268827944607242
43001,learned_event_learned_qr,16,1,110,111,8,8,1.7694245506719788,0.13712424545932297
43001,learned_event_learned_qr,16,1,110,111,16,16,1.7310091462610582,0.1749266288058863
43001,learned_event_learned_qr,17,1,111,011,1,1,0.5331721413891697,0.0033740201836724355
43001,learned_event_learned_qr,17,1,111,011,4,4,0.9124717060577847,0.0268769011378131
43001,learned_event_learned_qr,17,1,111,011,8,8,0.7541749571898013,0.055833826173438135
43001,learned_event_learned_qr,17,1,111,011,16,16,0.7420071299263835,0.039545550723198666
43001,learned_event_learned_qr,18,1,011,101,1,1,0.11963947606220261,0.0057694790273148016
43001,learned_event_learned_qr,18,1,011,101,4,4,2.248900501838379,0.3964317061939288
43001,learned_event_learned_qr,18,1,011,101,8,8,1.7221940690896975,0.23742685459648238
43001,learned_event_learned_qr,18,1,011,101,16,16,1.184091824304435,0.13503368872533833
43001,learned_event_learned_qr,19,1,101,110,1,1,0.2419871301484129,0.005114257474226569
43001,learned_event_learned_qr,19,1,101,110,4,4,0.2530098867686459,0.04032324199058835
43001,learned_event_learned_qr,19,1,101,110,8,8,0.22300876722274013,0.03015191177377119
43001,learned_event_learned_qr,19,1,101,110,16,16,0.09594600888556858,0.017236829193232286
43001,learned_event_learned_qr,20,1,110,111,1,1,2.4311805709627534,0.20078567270121503
43001,learned_event_learned_qr,20,1,110,111,4,4,1.9633391063880623,0.09272101136570693
43001,learned_event_learned_qr,20,1,110,111,8,8,2.3262763308258707,0.12660163612292558
43001,learned_event_learned_qr,20,1,110,111,16,16,2.189280184689392,0.17685966448498228
43001,learned_event_learned_qr,21,1,111,101,1,1,0.26096189761043187,0.0002396326899632855
43001,learned_event_learned_qr,21,1,111,101,4,4,0.6624144521210498,0.02666022983985019
43001,learned_event_learned_qr,21,1,111,101,8,8,0.6185246767043174,0.02192459147057139
43001,learned_event_learned_qr,21,1,111,101,16,16,0.6894996240042887,0.027547284060396526
43001,learned_event_learned_qr,22,1,101,111,1,1,2.228731013046066,0.01884108441999798
43001,learned_event_learned_qr,22,1,101,111,4,4,2.1184317205101335,0.08748201934265534
43001,learned_event_learned_qr,22,1,101,111,8,8,1.5756603416706214,0.061915444592395646
43001,learned_event_learned_qr,22,1,101,111,16,16,1.0250825902092287,0.0505526876421784
43001,learned_event_learned_qr,23,1,111,110,1,1,0.21954346201615227,0.0008078376042714494
43001,learned_event_learned_qr,23,1,111,110,4,4,0.23529578649645205,0.005604740682051827
43001,learned_event_learned_qr,23,1,111,110,8,8,0.7984360447587001,0.009891446822445468
43001,learned_event_learned_qr,23,1,111,110,16,16,0.5531244808908211,0.011987399971055758
43001,learned_event_learned_qr,25,2,111,101,1,1,0.2052152608106358,0.11469943659041248
43001,learned_event_learned_qr,25,2,111,101,4,4,0.34938126264844677,0.15589469591437516
43001,learned_event_learned_qr,25,2,111,101,8,8,0.4175652991517012,0.12502445944658452
43001,learned_event_learned_qr,25,2,111,101,16,16,0.4874982659700282,0.0721509870477509
43001,learned_event_learned_qr,26,2,101,101,1,1,2.327760769410378,0.03588860975522337
43001,learned_event_learned_qr,26,2,101,101,4,4,1.6866133014317395,0.03571577440576475
43001,learned_event_learned_qr,26,2,101,101,8,8,1.218526295586199,0.03971141893050531
43001,learned_event_learned_qr,26,2,101,101,16,16,2.113473535711057,0.0652887903423856
43001,learned_event_learned_qr,27,2,101,011,1,1,0.8355683519583486,0.023717401429133773
43001,learned_event_learned_qr,27,2,101,011,4,4,0.683655027780857,0.06695244952780169
43001,learned_event_learned_qr,27,2,101,011,8,8,1.2083417719254919,0.05963011648891614
43001,learned_event_learned_qr,27,2,101,011,16,16,1.0119822947895214,0.047300050291896566
43001,learned_event_learned_qr,28,2,011,011,1,1,2.9230281596953827,0.0472156255913843
43001,learned_event_learned_qr,28,2,011,011,4,4,1.0934726017858805,0.051014565548928935
43001,learned_event_learned_qr,28,2,011,011,8,8,0.7143629372532516,0.029355390520965304
43001,learned_event_learned_qr,28,2,011,011,16,16,0.52688467625634,0.043162336788409986
43001,learned_event_learned_qr,29,2,011,110,1,1,0.48153811297248655,0.05017369989122997
43001,learned_event_learned_qr,29,2,011,110,4,4,0.37581102555914153,0.013935164771116332
43001,learned_event_learned_qr,29,2,011,110,8,8,0.3479574840452211,0.017875700562367716
43001,learned_event_learned_qr,29,2,011,110,16,16,0.30432062776936364,0.028311526444753907
43001,learned_event_learned_qr,30,2,110,011,1,1,1.4338492159598268,0.007453845189378932
43001,learned_event_learned_qr,30,2,110,011,4,4,0.5786414736408296,0.01961785980683043
43001,learned_event_learned_qr,30,2,110,011,8,8,0.7088231867791159,0.06389679765866639
43001,learned_event_learned_qr,30,2,110,011,16,16,1.4365719658457616,0.144584552793038
43001,learned_event_learned_qr,31,2,011,111,1,1,1.1878656228892441,0.010164567746713083
43001,learned_event_learned_qr,31,2,011,111,4,4,0.5598147669414758,0.03958298901634647
43001,learned_event_learned_qr,31,2,011,111,8,8,0.877200790886884,0.05773482279315441
43001,learned_event_learned_qr,31,2,011,111,16,16,0.6871084727757333,0.04281404558571511
43001,learned_event_learned_qr,32,2,111,101,1,1,0.5787273140000784,0.004858188856933848
43001,learned_event_learned_qr,32,2,111,101,4,4,1.4952038057923294,0.08746602456310977
43001,learned_event_learned_qr,32,2,111,101,8,8,0.9862834774063183,0.05031323147037122
43001,learned_event_learned_qr,32,2,111,101,16,16,1.017347011099881,0.06372002021969404
43001,learned_event_learned_qr,33,2,101,110,1,1,0.3422839409816039,0.009596878436501883
43001,learned_event_learned_qr,33,2,101,110,4,4,0.303884577250641,0.012654847112518268
43001,learned_event_learned_qr,33,2,101,110,8,8,0.8324740727177447,0.02837244679373115
43001,learned_event_learned_qr,33,2,101,110,16,16,0.6426885608333197,0.024081762547176082
43001,learned_event_learned_qr,34,2,110,110,1,1,-0.33002214417193343,0.0007228454133514535
43001,learned_event_learned_qr,34,2,110,110,4,4,1.4339530350299994,0.012707625523464291
43001,learned_event_learned_qr,34,2,110,110,8,8,0.5405527221208914,0.017843529562081926
43001,learned_event_learned_qr,34,2,110,110,16,16,0.22033029205764312,0.018224516382029928
43001,learned_event_learned_qr,35,2,110,111,1,1,0.09458872066599922,0.0010211248807602406
43001,learned_event_learned_qr,35,2,110,111,4,4,0.4129896543340308,0.038150652434953906
43001,learned_event_learned_qr,35,2,110,111,8,8,1.0651235641022647,0.08803459372937925
43001,learned_event_learned_qr,35,2,110,111,16,16,1.4222506537816597,0.09843885892219759
43001,learned_event_learned_qr,37,3,101,111,1,1,1.0803373395667768,0.08745603705132894
43001,learned_event_learned_qr,37,3,101,111,4,4,1.2838440163839018,0.06429099441497874
43001,learned_event_learned_qr,37,3,101,111,8,8,0.8728547199042167,0.05724965983180469
43001,learned_event_learned_qr,37,3,101,111,16,16,0.732788249818701,0.05259764258430184
43001,learned_event_learned_qr,38,3,111,101,1,1,0.2236952915544974,0.05187167073059729
43001,learned_event_learned_qr,38,3,111,101,4,4,0.8911176231386466,0.10520145200010111
43001,learned_event_learned_qr,38,3,111,101,8,8,1.6062982996390391,0.1592879823312713
43001,learned_event_learned_qr,38,3,111,101,16,16,1.4450466361515861,0.10696181351243159
43001,learned_event_learned_qr,39,3,101,111,1,1,3.765973928037192,0.1562000113061905
43001,learned_event_learned_qr,39,3,101,111,4,4,1.7243427446070154,0.045057535470857946
43001,learned_event_learned_qr,39,3,101,111,8,8,1.8259525917564352,0.06497602730023588
43001,learned_event_learned_qr,39,3,101,111,16,16,1.1995396591032823,0.05522983101030969
43001,learned_event_learned_qr,40,3,111,111,1,1,0.691246945872026,0.002645931897851611
43001,learned_event_learned_qr,40,3,111,111,4,4,0.9856631535297901,0.05804767798726085
43001,learned_event_learned_qr,40,3,111,111,8,8,1.7359909617743035,0.36711412759455603
43001,learned_event_learned_qr,40,3,111,111,16,16,1.081954079946527,0.1983525189462948
43001,learned_event_learned_qr,41,3,111,011,1,1,1.6690262685667043,0.13176001738787083
43001,learned_event_learned_qr,41,3,111,011,4,4,1.1018327261918786,0.05286660782289696
