seed,selection_family,hazard_rate,process_rate,observation_rate,fit_nll,selected,process_variance,observation_variance,statistic_decay,prior_mass,q_fraction,mode_switch_probability
43001,learned_event_learned_qr,0.002,0.02,0.02,0.2144541200721065,False,,,,,,
43001,learned_event_learned_qr,0.002,0.02,0.1,0.14730285318459055,False,,,,,,
43001,learned_event_learned_qr,0.002,0.02,0.5,0.15923421575137983,False,,,,,,
43001,learned_event_learned_qr,0.002,0.1,0.02,0.19747144339319128,False,,,,,,
43001,learned_event_learned_qr,0.002,0.1,0.1,0.11401174382454486,False,,,,,,
43001,learned_event_learned_qr,0.002,0.1,0.5,0.13207480173658762,False,,,,,,
43001,learned_event_learned_qr,0.002,0.5,0.02,0.19471250932658232,False,,,,,,
43001,learned_event_learned_qr,0.002,0.5,0.1,0.09038941178673511,True,,,,,,
43001,learned_event_learned_qr,0.002,0.5,0.5,0.09924013920992751,False,,,,,,
43001,learned_event_learned_qr,0.02,0.02,0.02,0.21681753244021448,False,,,,,,
43001,learned_event_learned_qr,0.02,0.02,0.1,0.15715393540410527,False,,,,,,
43001,learned_event_learned_qr,0.02,0.02,0.5,0.16714758259952142,False,,,,,,
43001,learned_event_learned_qr,0.02,0.1,0.02,0.19886854607845061,False,,,,,,
43001,learned_event_learned_qr,0.02,0.1,0.1,0.11820961038477279,False,,,,,,
43001,learned_event_learned_qr,0.02,0.1,0.5,0.13360993364094065,False,,,,,,
43001,learned_event_learned_qr,0.02,0.5,0.02,0.1978621879576271,False,,,,,,
43001,learned_event_learned_qr,0.02,0.5,0.1,0.09552013655454303,False,,,,,,
43001,learned_event_learned_qr,0.02,0.5,0.5,0.09974976994975193,False,,,,,,
43001,learned_event_learned_qr,0.1,0.02,0.02,0.22408829117455603,False,,,,,,
43001,learned_event_learned_qr,0.1,0.02,0.1,0.16365609167716375,False,,,,,,
43001,learned_event_learned_qr,0.1,0.02,0.5,0.17579384004276466,False,,,,,,
43001,learned_event_learned_qr,0.1,0.1,0.02,0.20917322119788118,False,,,,,,
43001,learned_event_learned_qr,0.1,0.1,0.1,0.12555394570546569,False,,,,,,
43001,learned_event_learned_qr,0.1,0.1,0.5,0.143569568229429,False,,,,,,
43001,learned_event_learned_qr,0.1,0.5,0.02,0.21596582982724577,False,,,,,,
43001,learned_event_learned_qr,0.1,0.5,0.1,0.1057490806072397,False,,,,,,
43001,learned_event_learned_qr,0.1,0.5,0.5,0.10911331308563657,False,,,,,,
43001,selected_fixed_jump,,,,0.7264462060013882,False,0.0025,0.01,,,,
43001,selected_fixed_jump,,,,0.33378555829847895,False,0.0025,0.04,,,,
43001,selected_fixed_jump,,,,0.4599025655751983,False,0.0025,0.16,,,,
43001,selected_fixed_jump,,,,0.43824308121357297,False,0.02,0.01,,,,
43001,selected_fixed_jump,,,,0.2844661959727587,True,0.02,0.04,,,,
43001,selected_fixed_jump,,,,0.47077694577198925,False,0.02,0.16,,,,
43001,selected_fixed_jump,,,,0.36768267217411216,False,0.04,0.01,,,,
43001,selected_fixed_jump,,,,0.31474486741744795,False,0.04,0.04,,,,
43001,selected_fixed_jump,,,,0.5107147954746387,False,0.04,0.16,,,,
43001,h_plus_total_variance,0.002,,,0.12459396478957527,False,,,0.95,1.0,0.1,
43001,h_plus_total_variance,0.02,,,0.12746559292309698,False,,,0.95,1.0,0.1,
43001,h_plus_total_variance,0.1,,,0.1379270968841009,False,,,0.95,1.0,0.1,
43001,h_plus_total_variance,0.002,,,0.128943216537608,False,,,0.95,1.0,0.5,
43001,h_plus_total_variance,0.02,,,0.1327286574963503,False,,,0.95,1.0,0.5,
43001,h_plus_total_variance,0.1,,,0.1394199849466752,False,,,0.95,1.0,0.5,
43001,h_plus_total_variance,0.002,,,0.17897643680348693,False,,,0.95,1.0,0.9,
43001,h_plus_total_variance,0.02,,,0.180495425526999,False,,,0.95,1.0,0.9,
43001,h_plus_total_variance,0.1,,,0.18961723874279343,False,,,0.95,1.0,0.9,
43001,h_plus_total_variance,0.002,,,0.12445019528024812,True,,,0.95,4.0,0.1,
43001,h_plus_total_variance,0.02,,,0.12734382667200272,False,,,0.95,4.0,0.1,
43001,h_plus_total_variance,0.1,,,0.13785987542959455,False,,,0.95,4.0,0.1,
43001,h_plus_total_variance,0.002,,,0.1295109866743188,False,,,0.95,4.0,0.5,
43001,h_plus_total_variance,0.02,,,0.13322505416070912,False,,,0.95,4.0,0.5,
43001,h_plus_total_variance,0.1,,,0.13984078827085514,False,,,0.95,4.0,0.5,
43001,h_plus_total_variance,0.002,,,0.17945863969415324,False,,,0.95,4.0,0.9,
43001,h_plus_total_variance,0.02,,,0.18087959075798218,False,,,0.95,4.0,0.9,
43001,h_plus_total_variance,0.1,,,0.19004405198791782,False,,,0.95,4.0,0.9,
43001,h_plus_total_variance,0.002,,,0.12483666534723437,False,,,0.95,16.0,0.1,
43001,h_plus_total_variance,0.02,,,0.12782927527391685,False,,,0.95,16.0,0.1,
43001,h_plus_total_variance,0.1,,,0.1383217913938277,False,,,0.95,16.0,0.1,
43001,h_plus_total_variance,0.002,,,0.13106362206292704,False,,,0.95,16.0,0.5,
43001,h_plus_total_variance,0.02,,,0.13457142479164005,False,,,0.95,16.0,0.5,
43001,h_plus_total_variance,0.1,,,0.1409539320747949,False,,,0.95,16.0,0.5,
43001,h_plus_total_variance,0.002,,,0.1808984061120117,False,,,0.95,16.0,0.9,
43001,h_plus_total_variance,0.02,,,0.18206193187886216,False,,,0.95,16.0,0.9,
43001,h_plus_total_variance,0.1,,,0.19133144811562522,False,,,0.95,16.0,0.9,
43001,h_plus_total_variance,0.002,,,0.22322582981385908,False,,,0.99,1.0,0.1,
43001,h_plus_total_variance,0.02,,,0.22613601246501552,False,,,0.99,1.0,0.1,
43001,h_plus_total_variance,0.1,,,0.23438911058082296,False,,,0.99,1.0,0.1,
43001,h_plus_total_variance,0.002,,,0.2353757497359542,False,,,0.99,1.0,0.5,
43001,h_plus_total_variance,0.02,,,0.23838363814200322,False,,,0.99,1.0,0.5,
43001,h_plus_total_variance,0.1,,,0.2398224266246787,False,,,0.99,1.0,0.5,
43001,h_plus_total_variance,0.002,,,0.28307746219320407,False,,,0.99,1.0,0.9,
43001,h_plus_total_variance,0.02,,,0.2823566938292331,False,,,0.99,1.0,0.9,
43001,h_plus_total_variance,0.1,,,0.2855834598606708,False,,,0.99,1.0,0.9,
43001,h_plus_total_variance,0.002,,,0.21750508532657642,False,,,0.99,4.0,0.1,
