seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39121,fixed,ema,0.02,1.878446013893465,1.7463531319663037,,,,False
39121,fixed,ema,0.05,0.9591633899902091,1.449109919554935,,,,False
39121,fixed,ema,0.1,0.5763994903519705,1.2200479327327256,,,,False
39121,fixed,ema,0.2,0.36997758945378595,1.0012050085983406,,,,False
39121,fixed,ema,0.4,0.2615104922728611,0.8152052745465239,,,,False
39121,fixed,ema,0.7,0.22393743709892347,0.732376962440282,,,,False
39121,fixed,window,2,0.24750414260839138,0.7725343087375611,,,,False
39121,fixed,window,4,0.3071932125370232,0.8834144053419412,,,,False
39121,fixed,window,8,0.42821846463092456,1.0606566888578335,,,,False
39121,fixed,window,16,0.6465793905741158,1.2717588226008998,,,,False
39121,fixed,window,32,1.046157938226217,1.5070095833171342,,,,False
39121,fixed,window,64,1.7984223044524803,1.7440669631915207,,,,False
39121,fixed,fixed_jump,0.0025:0.0025:0.01,,0.7959561358289031,0.0025,0.0025,0.01,False
39121,fixed,fixed_jump,0.0025:0.0025:0.04,,0.3591843731336654,0.0025,0.0025,0.04,False
39121,fixed,fixed_jump,0.0025:0.0025:0.16,,0.47182333581659197,0.0025,0.0025,0.16,False
39121,fixed,fixed_jump,0.0025:0.01:0.01,,0.5618605828190856,0.0025,0.01,0.01,False
39121,fixed,fixed_jump,0.0025:0.01:0.04,,0.2858635036131014,0.0025,0.01,0.04,False
39121,fixed,fixed_jump,0.0025:0.01:0.16,,0.44807439348740813,0.0025,0.01,0.16,False
39121,fixed,fixed_jump,0.0025:0.04:0.01,,0.37473552171822594,0.0025,0.04,0.01,False
39121,fixed,fixed_jump,0.0025:0.04:0.04,,0.30742918280868475,0.0025,0.04,0.04,False
39121,fixed,fixed_jump,0.0025:0.04:0.16,,0.5022393973936503,0.0025,0.04,0.16,False
39121,fixed,fixed_jump,0.01:0.0025:0.01,,0.6588444262785128,0.01,0.0025,0.01,False
39121,fixed,fixed_jump,0.01:0.0025:0.04,,0.3108733431443244,0.01,0.0025,0.04,False
39121,fixed,fixed_jump,0.01:0.0025:0.16,,0.448530566016859,0.01,0.0025,0.16,False
39121,fixed,fixed_jump,0.01:0.01:0.01,,0.47351172697678595,0.01,0.01,0.01,False
39121,fixed,fixed_jump,0.01:0.01:0.04,,0.2614308644849148,0.01,0.01,0.04,False
39121,fixed,fixed_jump,0.01:0.01:0.16,,0.43739134394597085,0.01,0.01,0.16,False
39121,fixed,fixed_jump,0.01:0.04:0.01,,0.3346855177364109,0.01,0.04,0.01,False
39121,fixed,fixed_jump,0.01:0.04:0.04,,0.2940940368261078,0.01,0.04,0.04,False
39121,fixed,fixed_jump,0.01:0.04:0.16,,0.4944772480322677,0.01,0.04,0.16,False
39121,fixed,fixed_jump,0.03:0.0025:0.01,,0.5462664451288574,0.03,0.0025,0.01,False
39121,fixed,fixed_jump,0.03:0.0025:0.04,,0.2785150281786862,0.03,0.0025,0.04,False
39121,fixed,fixed_jump,0.03:0.0025:0.16,,0.4400128148009716,0.03,0.0025,0.16,False
39121,fixed,fixed_jump,0.03:0.01:0.01,,0.40085386866848466,0.03,0.01,0.01,False
39121,fixed,fixed_jump,0.03:0.01:0.04,,0.24778487460156762,0.03,0.01,0.04,True
39121,fixed,fixed_jump,0.03:0.01:0.16,,0.4400367587771001,0.03,0.01,0.16,False
39121,fixed,fixed_jump,0.03:0.04:0.01,,0.3054021537059761,0.03,0.04,0.01,False
39121,fixed,fixed_jump,0.03:0.04:0.04,,0.2911023275043876,0.03,0.04,0.04,False
39121,fixed,fixed_jump,0.03:0.04:0.16,,0.4996734950704475,0.03,0.04,0.16,False
39121,fixed,fixed_jump,0.06:0.0025:0.01,,0.48113225967475914,0.06,0.0025,0.01,False
39121,fixed,fixed_jump,0.06:0.0025:0.04,,0.26937177365381426,0.06,0.0025,0.04,False
39121,fixed,fixed_jump,0.06:0.0025:0.16,,0.45043418279109976,0.06,0.0025,0.16,False
39121,fixed,fixed_jump,0.06:0.01:0.01,,0.362378818995399,0.06,0.01,0.01,False
39121,fixed,fixed_jump,0.06:0.01:0.04,,0.250880222778213,0.06,0.01,0.04,False
39121,fixed,fixed_jump,0.06:0.01:0.16,,0.45678715008367776,0.06,0.01,0.16,False
39121,fixed,fixed_jump,0.06:0.04:0.01,,0.29649678393976553,0.06,0.04,0.01,False
39121,fixed,fixed_jump,0.06:0.04:0.04,,0.301961833651691,0.06,0.04,0.04,False
39121,fixed,fixed_jump,0.06:0.04:0.16,,0.51782227665788,0.06,0.04,0.16,False
