contrast,endpoint,mean,positive_seeds,n_seeds,minimum,maximum
learned_event_learned_qr_minus_oracle_event_learned_qr,overall_nll,0.009931088016157871,8,8,0.00813820948427224,0.012228148567873576
learned_event_learned_qr_minus_oracle_event_learned_qr,latent_mse,0.006488305487621771,8,8,0.004886707876628857,0.00943607465655906
learned_event_learned_qr_minus_learned_event_oracle_qr,overall_nll,0.07697883736106496,8,8,0.06455762220390704,0.10228287856632823
learned_event_learned_qr_minus_learned_event_oracle_qr,latent_mse,0.012826903316660846,8,8,0.006925486700613659,0.02085027243571967
learned_event_learned_qr_minus_oracle_event_oracle_qr,overall_nll,0.09006671296895717,8,8,0.07810395900440881,0.1134304127277026
learned_event_learned_qr_minus_oracle_event_oracle_qr,latent_mse,0.020101942135776155,8,8,0.015309836022931636,0.029455529274779825
h_plus_total_variance_minus_learned_event_learned_qr,overall_nll,0.013020594084287865,6,8,-0.0033673369860401925,0.030848439504214342
h_plus_total_variance_minus_learned_event_learned_qr,latent_mse,0.006205498401915665,5,8,-0.001857343154445426,0.01865728330293829
generator_supported_seen_mode_imm_minus_learned_event_learned_qr,overall_nll,0.066211822159329,8,8,0.026772760341189916,0.09441691419730758
generator_supported_seen_mode_imm_minus_learned_event_learned_qr,latent_mse,0.008034111171441032,7,8,-0.004336041693683512,0.015432829734296952
selected_fixed_jump_minus_learned_event_learned_qr,overall_nll,0.30525446820966706,8,8,0.2804751619994711,0.33023311825584256
selected_fixed_jump_minus_learned_event_learned_qr,latent_mse,0.007483148974621386,8,8,0.0016718883541109453,0.013193483971762246
