seed,selection_family,hazard_rate,process_rate,observation_rate,fit_nll,selected,process_variance,observation_variance,statistic_decay,prior_mass,q_fraction,mode_switch_probability
43000,learned_event_learned_qr,0.002,0.02,0.02,0.23514709737655737,False,,,,,,
43000,learned_event_learned_qr,0.002,0.02,0.1,0.18670371651834972,False,,,,,,
43000,learned_event_learned_qr,0.002,0.02,0.5,0.19365100055893608,False,,,,,,
43000,learned_event_learned_qr,0.002,0.1,0.02,0.21832990586652934,False,,,,,,
43000,learned_event_learned_qr,0.002,0.1,0.1,0.15376353103067983,False,,,,,,
43000,learned_event_learned_qr,0.002,0.1,0.5,0.15987022517743754,False,,,,,,
43000,learned_event_learned_qr,0.002,0.5,0.02,0.22243356028757966,False,,,,,,
43000,learned_event_learned_qr,0.002,0.5,0.1,0.14268082253962,False,,,,,,
43000,learned_event_learned_qr,0.002,0.5,0.5,0.12811189519753358,True,,,,,,
43000,learned_event_learned_qr,0.02,0.02,0.02,0.2372255506259614,False,,,,,,
43000,learned_event_learned_qr,0.02,0.02,0.1,0.19792875077774752,False,,,,,,
43000,learned_event_learned_qr,0.02,0.02,0.5,0.19507701131465405,False,,,,,,
43000,learned_event_learned_qr,0.02,0.1,0.02,0.22508171160271828,False,,,,,,
43000,learned_event_learned_qr,0.02,0.1,0.1,0.16205202239692929,False,,,,,,
43000,learned_event_learned_qr,0.02,0.1,0.5,0.1579612282815846,False,,,,,,
43000,learned_event_learned_qr,0.02,0.5,0.02,0.23026903540005428,False,,,,,,
43000,learned_event_learned_qr,0.02,0.5,0.1,0.1471861595889908,False,,,,,,
43000,learned_event_learned_qr,0.02,0.5,0.5,0.1326492491679009,False,,,,,,
43000,learned_event_learned_qr,0.1,0.02,0.02,0.2427993053618155,False,,,,,,
43000,learned_event_learned_qr,0.1,0.02,0.1,0.1967139256954572,False,,,,,,
43000,learned_event_learned_qr,0.1,0.02,0.5,0.19549870956541474,False,,,,,,
43000,learned_event_learned_qr,0.1,0.1,0.02,0.23053732797198226,False,,,,,,
43000,learned_event_learned_qr,0.1,0.1,0.1,0.16309067842110675,False,,,,,,
43000,learned_event_learned_qr,0.1,0.1,0.5,0.16373019132078678,False,,,,,,
43000,learned_event_learned_qr,0.1,0.5,0.02,0.24019051998467233,False,,,,,,
43000,learned_event_learned_qr,0.1,0.5,0.1,0.15466669233717983,False,,,,,,
43000,learned_event_learned_qr,0.1,0.5,0.5,0.14282547758675596,False,,,,,,
43000,selected_fixed_jump,,,,0.6871743723828715,False,0.0025,0.01,,,,
43000,selected_fixed_jump,,,,0.3212872116236947,False,0.0025,0.04,,,,
43000,selected_fixed_jump,,,,0.46393858586985925,False,0.0025,0.16,,,,
43000,selected_fixed_jump,,,,0.410577240108039,False,0.02,0.01,,,,
43000,selected_fixed_jump,,,,0.2724280673325565,True,0.02,0.04,,,,
43000,selected_fixed_jump,,,,0.46288121254755094,False,0.02,0.16,,,,
43000,selected_fixed_jump,,,,0.3505907017172606,False,0.04,0.01,,,,
43000,selected_fixed_jump,,,,0.29911872938564205,False,0.04,0.04,,,,
43000,selected_fixed_jump,,,,0.4996948196694498,False,0.04,0.16,,,,
43000,h_plus_total_variance,0.002,,,0.16375730352577544,False,,,0.95,1.0,0.1,
43000,h_plus_total_variance,0.02,,,0.15799365997201567,False,,,0.95,1.0,0.1,
43000,h_plus_total_variance,0.1,,,0.16129803946287335,False,,,0.95,1.0,0.1,
