hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier
0.01,0.0625,0,bayes_reward_filter,5,0.8087890625,0.015060132612275255,0.1044921875,12.2,0.008388669296134802,0.5829687379985995,0.19863582593941903
0.01,0.0625,0,credit_shuffled_local,5,0.744140625,0.02769247839540864,0.169140625,3.4,0.025854425856741203,1.1928830541387374,0.4098363199807764
0.01,0.0625,0,cumulative_sample_average,5,0.815234375,0.044294672512622646,0.098046875,7.2,0.0006905385219452,2.950685143937274,0.3346958404699562
0.01,0.0625,0,matched_random,5,0.771875,0.01793528218132706,0.14140625,,,,
0.01,0.0625,0,no_feedback_local,5,0.771875,0.01793528218132706,0.14140625,5.1,0.0,0.6931471805599451,0.25
0.01,0.0625,0,oracle_hidden_state,5,0.91328125,0.011164462958615498,0.0,0.0,0.0,9.999778782803791e-13,0.0
0.01,0.0625,0,persistent_rpe_local,5,0.8111328125,0.03132125360564611,0.1021484375,6.7,0.0109524345931998,0.8026566549626339,0.253877391152091
0.01,0.0625,0,train_fixed_best,5,0.73828125,0.033554906344782566,0.175,,,,
0.01,0.0625,4,bayes_reward_filter,5,0.80380859375,0.016382545421717257,0.10947265625,16.0,0.0079956452556336,0.6000945798743477,0.20583123416817703
0.01,0.0625,4,credit_shuffled_local,5,0.7466796875,0.025660097231008018,0.1666015625,0.0,0.025556961549739198,1.2380991026332855,0.41458552317736885
0.01,0.0625,4,cumulative_sample_average,5,0.8154296875,0.04523788095963671,0.0978515625,7.3,0.0006905385219452,2.958978183432301,0.3374023222086246
0.01,0.0625,4,matched_random,5,0.771875,0.01793528218132706,0.14140625,,,,
0.01,0.0625,4,no_feedback_local,5,0.771875,0.01793528218132706,0.14140625,5.1,0.0,0.6931471805599451,0.25
0.01,0.0625,4,oracle_hidden_state,5,0.91328125,0.011164462958615498,0.0,0.0,0.0,9.999778782803791e-13,0.0
0.01,0.0625,4,persistent_rpe_local,5,0.80830078125,0.027358133075440938,0.10498046875,8.7,0.011646627905506201,0.815052646299228,0.2580551490279712
0.01,0.0625,4,train_fixed_best,5,0.73828125,0.033554906344782566,0.175,,,,
0.01,0.0625,16,bayes_reward_filter,5,0.79140625,0.014920168474488772,0.121875,15.4,0.008388669296134802,0.631715471693555,0.22026848110483202
0.01,0.0625,16,credit_shuffled_local,5,0.754296875,0.014013756941161673,0.158984375,1.5,0.023983012905332002,1.1900214211087063,0.40182972036357506
0.01,0.0625,16,cumulative_sample_average,5,0.8125,0.04494707810322146,0.10078125,5.8,0.0009863525198752,1.8370756911788177,0.32525351512245404
0.01,0.0625,16,matched_random,5,0.771875,0.01793528218132706,0.14140625,,,,
0.01,0.0625,16,no_feedback_local,5,0.771875,0.01793528218132706,0.14140625,5.1,0.0,0.6931471805599451,0.25
0.01,0.0625,16,oracle_hidden_state,5,0.91328125,0.011164462958615498,0.0,0.0,0.0,9.999778782803791e-13,0.0
0.01,0.0625,16,persistent_rpe_local,5,0.80361328125,0.03156767547778583,0.10966796875,10.2,0.011555161733528201,0.8376748154763716,0.26744880677278565
0.01,0.0625,16,train_fixed_best,5,0.73828125,0.033554906344782566,0.175,,,,
0.01,0.125,0,bayes_reward_filter,5,0.81787109375,0.017026948998205758,0.09541015625,8.7,0.0146012592873348,0.5386926731755088,0.17981409000483223
